category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	supp_pdf	topics	status
primary_research	Pham DL, Cappabianca D, Forsberg MH et al.	Label-free metabolic imaging monitors the fitness of chimeric antigen receptor T cells.	Nature biomedical engineering	2026	40958004	10.1038/s41551-025-01504-7	PMC12445593	https://pmc.ncbi.nlm.nih.gov/articles/PMC12445593/	pdfs/pham_2026_pmid40958004.pdf		other	downloaded_europepmc
primary_research	Tallon-Cobos AC, Vazaios K, Waranecki P et al.	CAR T cells targeting the glycoprotein GD2 show potent antitumor efficacy in high-risk ependymoma models.	The Journal of clinical investigation	2026	41289021	10.1172/JCI193332	PMC12807483	https://pmc.ncbi.nlm.nih.gov/articles/PMC12807483/	pdfs/tallon_cobos_2026_pmid41289021.pdf		ependymoma	downloaded_europepmc
primary_research	Bessler N, Wezenaar AKL, Ariese HCR et al.	De novo H3.3K27M-altered diffuse midline glioma in human brainstem organoids to dissect GD2 CAR T cell function.	Nature cancer	2026	41492091	10.1038/s43018-025-01084-0	PMC12948678	https://pmc.ncbi.nlm.nih.gov/articles/PMC12948678/	pdfs/bessler_2026_pmid41492091.pdf		DMG_DIPG_H3K27M;glioma_GBM;exhaustion_memory	downloaded_europepmc
primary_research	Barragán Bravo GA, de la Cerda DA, Landoni E et al.	IL-18 metabolically reprograms CAR-expressing natural killer T cells and enhances their antitumor activity.	Molecular therapy : the journal of the American Society of Gene Therapy	2026	41520178	10.1016/j.ymthe.2026.01.001	PMC12882818	https://pmc.ncbi.nlm.nih.gov/articles/PMC12882818/	pdfs/barrag_n_2026_pmid41520178.pdf		CAR-NKT;CAR-NK;cytokine_armoring	downloaded_europepmc
primary_research	Sugitatsu Y, Tomida A, Suematsu M et al.	Alectinib boosts anti-tumor efficacy of disialoganglioside 2 chimeric antigen receptor T cells in ALK-mutated neuroblastoma by suppressing programmed death-ligand 1.	British journal of cancer	2026	41866626	10.1038/s41416-026-03363-8	PMC13133162	https://pmc.ncbi.nlm.nih.gov/articles/PMC13133162/			neuroblastoma	not_available_oa
primary_research	Subhadhirasakul S, Sujjitjoon J, Yenchitsomanus PT et al.	Intravitreal GD2-Specific Chimeric Antigen Receptor T-Cell Therapy for Refractory Retinoblastoma.	Pediatric blood & cancer	2026	41964519	10.1002/1545-5017.70334		https://doi.org/10.1002/1545-5017.70334			retinoblastoma	not_available_oa
primary_research	Cappabianca D, Toulany M, Zima S et al.	Class I HDAC inhibition enhances the stem-like memory properties of CRISPR-engineered CAR T cells in neuroblastoma.	Molecular therapy. Oncology	2026	42058597	10.1016/j.omton.2026.201200	PMC13123348	https://pmc.ncbi.nlm.nih.gov/articles/PMC13123348/	pdfs/cappabianca_2026_pmid42058597.pdf		neuroblastoma;design_engineering;exhaustion_memory;non_viral_geneediting	downloaded_europepmc
primary_research	Vazaios K, Tallon-Cobos AC, van Oosterhout LPJ et al.	Boosting CAR T cell functionality with oncolytic viruses for the treatment of pediatric diffuse midline gliomas.	Molecular therapy. Oncology	2026	42100144	10.1016/j.omton.2026.201191	PMC13145386	https://pmc.ncbi.nlm.nih.gov/articles/PMC13145386/	pdfs/vazaios_2026_pmid42100144.pdf		DMG_DIPG_H3K27M;glioma_GBM	downloaded_europepmc
primary_research	Lizana-Vasquez GD, Ramasubramanian S, Davarzani A et al.	In Vitro Assessment of Thermo-Responsive Scaffold as a 3D Synthetic Matrix for CAR-T Potency Testing Against Glioblastoma Spheroids.	Journal of biomedical materials research. Part A	2025	39460647	10.1002/jbm.a.37823		https://doi.org/10.1002/jbm.a.37823			glioma_GBM	not_available_oa
primary_research	Tian G, Courtney AN, Yu H et al.	Hyperleukocytosis in a neuroblastoma patient after treatment with natural killer T cells expressing a GD2-specific chimeric antigen receptor and IL-15.	Journal for immunotherapy of cancer	2025	39800376	10.1136/jitc-2024-010156	PMC11883886	https://pmc.ncbi.nlm.nih.gov/articles/PMC11883886/	pdfs/tian_2025_pmid39800376.pdf		neuroblastoma;CAR-NKT;CAR-NK;cytokine_armoring;toxicity	downloaded_europepmc
primary_research	Quintarelli C, Del Bufalo F, De Ioris MA et al.	Donor-derived GD2-specific CAR T cells in relapsed or refractory neuroblastoma.	Nature medicine	2025	39815015	10.1038/s41591-024-03449-x		https://doi.org/10.1038/s41591-024-03449-x		supplements/quintarelli_2025_pmid39815015_supp.pdf	neuroblastoma;allogeneic	supplement_only
primary_research	Shankar K, Zingler-Hoslet I, Tabima DM et al.	Virus-free CRISPR knockin of a chimeric antigen receptor into KLRC1 generates potent GD2-specific natural killer cells.	Molecular therapy : the journal of the American Society of Gene Therapy	2025	39815622	10.1016/j.ymthe.2025.01.024	PMC11897758	https://pmc.ncbi.nlm.nih.gov/articles/PMC11897758/	pdfs/shankar_2025_pmid39815622.pdf		CAR-NK;non_viral_geneediting	downloaded_europepmc
primary_research	Vogt KC, Silberman PC, Lin Q et al.	Microenvironment actuated CAR T cells improve solid tumor efficacy without toxicity.	Science advances	2025	39841845	10.1126/sciadv.ads3403	PMC11753401	https://pmc.ncbi.nlm.nih.gov/articles/PMC11753401/	pdfs/vogt_2025_pmid39841845.pdf		toxicity	downloaded_browser
primary_research	Ni H, Reitman ZJ, Zou W et al.	FLASH radiation reprograms lipid metabolism and macrophage immunity and sensitizes medulloblastoma to CAR-T cell therapy.	Nature cancer	2025	39910249	10.1038/s43018-025-00905-6	PMC12244404	https://pmc.ncbi.nlm.nih.gov/articles/PMC12244404/	pdfs/ni_2025_pmid39910249.pdf		medulloblastoma;CAR-macrophage	downloaded_europepmc
