category	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	supp_pdf	topics	status
primary_research	Tanaka Y, Kobayashi H, Terasaki T et al.	Synthesis of pyrophosphate-containing compounds that stimulate Vgamma2Vdelta2 T cells: application to cancer immunotherapy.	Medicinal chemistry (Shariqah (United Arab Emirates))	2007	17266628	10.2174/157340607779317544		https://doi.org/10.2174/157340607779317544			aminobisphosphonate;adoptive_expansion;Vd2_Vg9;mechanism_cytotox	no_pmcid
primary_research	Wrobel P, Shojaei H, Schittek B et al.	Lysis of a broad range of epithelial tumour cells by human gamma delta T cells: involvement of NKG2D ligands and T-cell receptor- versus NKG2D-dependent recognition.	Scandinavian journal of immunology	2007	17635809	10.1111/j.1365-3083.2007.01963.x		https://doi.org/10.1111/j.1365-3083.2007.01963.x			phosphoantigen_BTN;aminobisphosphonate;adoptive_expansion;mechanism_cytotox;melanoma;lung;pancreatic;ovarian	no_pmcid
primary_research	Peng G, Wang HY, Peng W et al.	Tumor-infiltrating gammadelta T cells suppress T and dendritic cell function via mechanisms controlled by a unique toll-like receptor signaling pathway.	Immunity	2007	17656116	10.1016/j.immuni.2007.05.020		https://doi.org/10.1016/j.immuni.2007.05.020			adoptive_expansion;tumor_infiltrating;immunosuppression;breast	no_pmcid
primary_research	Korematsu S, Tanaka Y, Nagakura T et al.	Human gammadelta T cells modulate the mite allergen-specific T-helper type 2-skewed immunity.	Clinical and experimental allergy : journal of the British Society for Allergy and Clinical Immunology	2007	17883427	10.1111/j.1365-2222.2007.02826.x		https://doi.org/10.1111/j.1365-2222.2007.02826.x				no_pmcid
primary_research	Burjanadzé M, Condomines M, Reme T et al.	In vitro expansion of gamma delta T cells with anti-myeloma cell activity by Phosphostim and IL-2 in patients with multiple myeloma.	British journal of haematology	2007	17897296	10.1111/j.1365-2141.2007.06754.x		https://doi.org/10.1111/j.1365-2141.2007.06754.x			phosphoantigen_BTN;adoptive_expansion;Vd2_Vg9;mechanism_cytotox;myeloma	no_pmcid
primary_research	Saito A, Narita M, Yokoyama A et al.	Enhancement of anti-tumor cytotoxicity of expanded gammadelta T Cells by stimulation with monocyte-derived dendritic cells.	Journal of clinical and experimental hematopathology : JCEH	2007	18040145	10.3960/jslrt.47.61		https://doi.org/10.3960/jslrt.47.61			adoptive_expansion;mechanism_cytotox;leukemia;myeloma	no_pmcid
primary_research	Watanabe N, Narita M, Yokoyama A et al.	Type I IFN-mediated enhancement of anti-leukemic cytotoxicity of gammadelta T cells expanded from peripheral blood cells by stimulation with zoledronate.	Cytotherapy	2006	16698685	10.1080/14653240600620200		https://doi.org/10.1080/14653240600620200			aminobisphosphonate;adoptive_expansion;mechanism_cytotox;leukemia;lymphoma	no_pmcid
primary_research	Aswald JM, Wang XH, Aswald S et al.	Flow cytometric assessment of autologous gammadelta T cells in patients with acute myeloid leukemia: potential effector cells for immunotherapy?	Cytometry. Part B, Clinical cytometry	2006	16977635	10.1002/cyto.b.20115		https://doi.org/10.1002/cyto.b.20115			adoptive_expansion;tumor_infiltrating;mechanism_cytotox;leukemia	no_pmcid
primary_research	Tanaka Y	Human gamma delta T cells and tumor immunotherapy.	Journal of clinical and experimental hematopathology : JCEH	2006	17058804	10.3960/jslrt.46.11		https://doi.org/10.3960/jslrt.46.11			aminobisphosphonate;Vd2_Vg9;lymphoma	no_pmcid
primary_research	Otto M, Barfield RC, Iyengar R et al.	Human gammadelta T cells from G-CSF-mobilized donors retain strong tumoricidal activity and produce immunomodulatory cytokines after clinical-scale isolation.	Journal of immunotherapy (Hagerstown, Md. : 1997)	2005	15614047	10.1097/00002371-200501000-00009		https://doi.org/10.1097/00002371-200501000-00009			adoptive_expansion;Vd1;Vd2_Vg9;mechanism_cytotox;leukemia;lymphoma;neuroblastoma	no_pmcid
primary_research	Sato K, Kimura S, Segawa H et al.	Cytotoxic effects of gammadelta T cells expanded ex vivo by a third generation bisphosphonate for cancer immunotherapy.	International journal of cancer	2005	15756684	10.1002/ijc.20987		https://doi.org/10.1002/ijc.20987			aminobisphosphonate;adoptive_expansion;mechanism_cytotox;lung	no_pmcid
primary_research	Liu Z, Guo BL, Gehrs BC et al.	Ex vivo expanded human Vgamma9Vdelta2+ gammadelta-T cells mediate innate antitumor activity against human prostate cancer cells in vitro.	The Journal of urology	2005	15821484	10.1097/01.ju.0000154355.45816.0b		https://doi.org/10.1097/01.ju.0000154355.45816.0b			adoptive_expansion;Vd2_Vg9;mechanism_cytotox;prostate	no_pmcid
primary_research	Rincon-Orozco B, Kunzmann V, Wrobel P et al.	Activation of V gamma 9V delta 2 T cells by NKG2D.	Journal of immunology (Baltimore, Md. : 1950)	2005	16081780	10.4049/jimmunol.175.4.2144		https://doi.org/10.4049/jimmunol.175.4.2144			phosphoantigen_BTN;aminobisphosphonate;Vd2_Vg9;mechanism_cytotox	no_pmcid
primary_research	Guo BL, Liu Z, Aldrich WA et al.	Innate anti-breast cancer immunity of apoptosis-resistant human gammadelta-T cells.	Breast cancer research and treatment	2005	16187237	10.1007/s10549-005-4792-8		https://doi.org/10.1007/s10549-005-4792-8			adoptive_expansion;Vd2_Vg9;breast	no_pmcid
primary_research	Zhang H, Hu H, Jiang X et al.	Membrane HSP70: the molecule triggering gammadelta T cells in the early stage of tumorigenesis.	Immunological investigations	2005	16302688	10.1080/08820130500265349		https://doi.org/10.1080/08820130500265349			mechanism_cytotox	no_pmcid
primary_research	Otto M, Barfield RC, Martin WJ et al.	Combination immunotherapy with clinical-scale enriched human gammadelta T cells, hu14.18 antibody, and the immunocytokine Fc-IL7 in disseminated neuroblastoma.	Clinical cancer research : an official journal of the American Association for Cancer Research	2005	16322312	10.1158/1078-0432.CCR-05-1184		https://doi.org/10.1158/1078-0432.CCR-05-1184			mechanism_cytotox;neuroblastoma	no_pmcid
primary_research	Ciavarra RP, Holterman DA, Brown RR et al.	Prostate tumor microenvironment alters immune cells and prevents long-term survival in an orthotopic mouse model following flt3-ligand/CD40-ligand immunotherapy.	Journal of immunotherapy (Hagerstown, Md. : 1997)	2004	14676630	10.1097/00002371-200401000-00002		https://doi.org/10.1097/00002371-200401000-00002			tumor_infiltrating;immunosuppression;prostate	no_pmcid
primary_research	Sanders JM, Ghosh S, Chan JM et al.	Quantitative structure-activity relationships for gammadelta T cell activation by bisphosphonates.	Journal of medicinal chemistry	2004	14711309	10.1021/jm0303709		https://doi.org/10.1021/jm0303709			phosphoantigen_BTN;aminobisphosphonate;leukemia	no_pmcid
primary_research	Lozupone F, Pende D, Burgio VL et al.	Effect of human natural killer and gammadelta T cells on the growth of human autologous melanoma xenografts in SCID mice.	Cancer research	2004	14729648	10.1158/0008-5472.can-03-1501		https://doi.org/10.1158/0008-5472.can-03-1501			Vd1;Vd2_Vg9;mechanism_cytotox;leukemia;melanoma	no_pmcid
primary_research	Qi J, Peng P, Dai MH et al.	[Cytotoxicity of MICA-reactive V delta 1 gamma delta T cells towards epithelial tumor cells].	Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae	2004	15052765			https://pubmed.ncbi.nlm.nih.gov/15052765/			adoptive_expansion;tumor_infiltrating;mechanism_cytotox	no_pmcid
primary_research	Pranzatelli MR, Travelstead AL, Tate ED et al.	B- and T-cell markers in opsoclonus-myoclonus syndrome: immunophenotyping of CSF lymphocytes.	Neurology	2004	15136676	10.1212/wnl.62.9.1526		https://doi.org/10.1212/wnl.62.9.1526			adoptive_expansion;neuroblastoma	no_pmcid
primary_research	Song Y, Zhang Y, Wang H et al.	Synthesis of chiral phosphoantigens and their activity in gamma delta T cell stimulation.	Bioorganic & medicinal chemistry letters	2004	15357974	10.1016/j.bmcl.2004.06.052		https://doi.org/10.1016/j.bmcl.2004.06.052			phosphoantigen_BTN;Vd2_Vg9	no_pmcid
primary_research	Kabelitz D, Wesch D, Pitters E et al.	Characterization of tumor reactivity of human V gamma 9V delta 2 gamma delta T cells in vitro and in SCID mice in vivo.	Journal of immunology (Baltimore, Md. : 1950)	2004	15557170	10.4049/jimmunol.173.11.6767		https://doi.org/10.4049/jimmunol.173.11.6767			phosphoantigen_BTN;aminobisphosphonate;adoptive_expansion;Vd2_Vg9;mechanism_cytotox;leukemia;melanoma;pancreatic	no_pmcid
primary_research	Qi J, Zhang J, Zhang S et al.	Immobilized MICA could expand human Vdelta1 gammadelta T cells in vitro that displayed major histocompatibility complex class I chain-related A-dependent cytotoxicity to human epithelial carcinomas.	Scandinavian journal of immunology	2003	12869143	10.1046/j.1365-3083.2003.01288.x		https://doi.org/10.1046/j.1365-3083.2003.01288.x			adoptive_expansion;Vd1;mechanism_cytotox;ovarian	no_pmcid
primary_research	Argentati K, Re F, Donnini A et al.	Numerical and functional alterations of circulating gammadelta T lymphocytes in aged people and centenarians.	Journal of leukocyte biology	2002	12101264			https://pubmed.ncbi.nlm.nih.gov/12101264/			adoptive_expansion;Vd1;Vd2_Vg9;mechanism_cytotox	no_pmcid
primary_research	Gossman W, Oldfield E	Quantitative structure--activity relations for gammadelta T cell activation by phosphoantigens.	Journal of medicinal chemistry	2002	12383012	10.1021/jm020224n		https://doi.org/10.1021/jm020224n			phosphoantigen_BTN;mechanism_cytotox	no_pmcid
primary_research	Ferrarini M, Consogno G, Rovere P et al.	Inhibition of caspases maintains the antineoplastic function of gammadelta T cells repeatedly challenged with lymphoma cells.	Cancer research	2001	11306492			https://pubmed.ncbi.nlm.nih.gov/11306492/			adoptive_expansion;mechanism_cytotox;lymphoma	no_pmcid
primary_research	Chen J, Niu H, He W et al.	Antitumor activity of expanded human tumor-infiltrating gammadelta T lymphocytes.	International archives of allergy and immunology	2001	11490159	10.1159/000053824		https://doi.org/10.1159/000053824			adoptive_expansion;tumor_infiltrating;mechanism_cytotox;lymphoma;colorectal;ovarian	no_pmcid
