,logFC,P.Value,adj.P.Val
PDXDC2,1.8247887,0.004293158,0.488299458
SPINT1,1.4904995,0.004294049,0.48790145
GTDC1,1.2513015,0.004296892,0.487228077
SSBP4,1.6155536,0.004304908,0.487639495
SLC9A3R1,2.0644076,0.004316742,0.487489101
FRAT2,1.2679269,0.004319644,0.487321619
NUP98,1.3935215,0.004328631,0.487840212
C20orf195,1.2877138,0.004345387,0.48923249
SH3BP2,1.2463851,0.004354315,0.48974142
C11orf87,1.3838898,0.004359337,0.489810481
CD19,3.718605,0.004365649,0.489036296
RAD9B,1.2736931,0.004376294,0.4897351
GPHN,1.062088,0.004429072,0.494645031
PDIA4,1.1731398,0.004438526,0.494706473
FBXO9,1.7315181,0.004457374,0.495812625
TMEM150A,1.2579309,0.004514763,0.499198069
ESPL1,1.1506501,0.00453209,0.500615729
COBLL1,1.2663187,0.00455191,0.501807482
AKT2,1.6646003,0.004582251,0.504651567
B3GALT4,1.2361575,0.004592846,0.505317655
ACOT11,2.1908464,0.004621064,0.507417456
PLA2G2F,1.1913092,0.004630042,0.506900633
SLC4A2,1.4567535,0.004651191,0.508214664
RERG,1.9812351,0.004662447,0.508944061
DNAH1,1.3394314,0.00468761,0.510687494
DALRD3,1.2597048,0.004705076,0.512088281
WDR6,1.2597048,0.004705076,0.512088281
SFRS1,1.2895173,0.004757543,0.516281725
H2AFZ,1.2320995,0.004770545,0.516683482
LOC646976,1.7156477,0.004789145,0.518192951
QRICH2,1.5255731,0.004824925,0.520543789
ASB14,1.5395709,0.004832992,0.520403668
NR2E3,2.985401,0.004867884,0.523146859
EPS8L2,1.5297647,0.004997858,0.534016296
HDAC10,1.8706117,0.004999641,0.533693689
SPTBN5,2.1005979,0.00500259,0.533495932
HSD3B2,1.2405938,0.005020095,0.534849483
NAA11,1.20912,0.005043878,0.536354918
CD79A,1.6236079,0.005049235,0.536411249
WBSCR22,1.102197,0.005105244,0.540295302
MOCS2,1.4213903,0.005117887,0.540603588
PSMD6,1.0913018,0.005124319,0.539743759
SLC45A4,1.721836,0.005130102,0.539330488
OR56B1,1.25494,0.00517772,0.543308614
CHD4,1.1710248,0.005180178,0.543053713
BAZ2A,1.3030461,0.005217173,0.544875837
ZSWIM1,1.4159027,0.005257032,0.548523136
PRICKLE3,1.2648649,0.005287124,0.550113329
SEC24B,1.1031294,0.005287199,0.549606567
DKFZP434I0714,1.2931535,0.005311395,0.550576609
C21orf119,1.3172487,0.005327279,0.551194844
C11orf45,2.009897,0.005334065,0.550359608
RXRB,1.3365544,0.005335513,0.549998371
CASP10,1.231404,0.005369392,0.551954673
JMJD1C,1.0795875,0.005370135,0.551520828
NECAB3,1.815026,0.005431807,0.554778223
CEP120,1.2641801,0.005445994,0.555716467
FLG,1.1233343,0.005457881,0.556418429
TBC1D27,1.634867,0.005473569,0.557506375
OXA1L,1.5313019,0.005475409,0.557183082
HTR1E,1.573749,0.005481659,0.557308722
ZNF783,1.9602348,0.00551346,0.557481586
DDA1,1.3111708,0.005524066,0.55804616
LOC728743,1.7556651,0.00554079,0.559227283
LOC440248,2.032558,0.005548521,0.55949932
CRYGS,1.7163237,0.005588821,0.562033095
MACROD1,1.7846503,0.005607436,0.563395236
ECHDC2,1.5912248,0.005620044,0.564151889
C22orf32,1.4372725,0.005646485,0.565783944
SMARCD2,1.2054724,0.005652144,0.565840756
OPALIN,1.1374344,0.005658821,0.565999287
ADAM6,1.261837,0.005709323,0.570024301
SSR1,1.2616664,0.00570988,0.569568197
DOK7,3.6557393,0.005750104,0.572040148
WHSC1,1.4147825,0.005767701,0.57174329
ZNF786,1.2759168,0.005786582,0.572593391
LAS1L,1.328194,0.005791287,0.572040153
MYOZ1,2.1763318,0.005820046,0.57437034
ZNF431,1.3521441,0.00583228,0.575066913
C20orf165,1.1978915,0.005847761,0.57455415
CHMP4A,1.9593296,0.005901272,0.577768369
DACH1,3.7873619,0.005929712,0.579531578
LOC284900,1.6184107,0.005973289,0.583277533
LRRC61,1.5287625,0.005997509,0.584102726
BRCC3,1.089253,0.006008842,0.584693976
NAGK,1.1866187,0.006016791,0.583933496
C6orf1,1.2946677,0.006034313,0.584103656
SCAND1,1.4318199,0.006037071,0.583861961
HMGA1,1.2605026,0.006043083,0.583427931
RPL4,1.1408467,0.006045344,0.582633796
POLR2J2,1.4405173,0.006050475,0.582118543
POLR2J,1.4405173,0.006050475,0.582118543
ZNF695,1.1146346,0.006069757,0.58296419
SSH2,1.1462694,0.006075917,0.583051894
GSTT1,2.7579255,0.0061,0.583850373
TAS2R40,1.2771764,0.006104398,0.583266542
PRPF19,1.219343,0.006106062,0.582924375
ACSF3,1.2678766,0.006139968,0.585658127
COL27A1,1.12727,0.006173523,0.587346225
GRAMD1A,1.6314892,0.006180885,0.587543604
RBM10,1.1868967,0.006187624,0.587179662
C1orf63,1.208188,0.006199703,0.586822479
FAM198B,1.5860521,0.006256228,0.590161967
TRIM26,1.3095229,0.006289485,0.592293635
OLIG1,1.2009623,0.006291313,0.591964083
EIF2AK1,2.047553,0.006299664,0.592248351
MAN1C1,1.428897,0.006325073,0.593632715
FBXL6,1.9023432,0.00633577,0.593633847
C20orf197,1.0885289,0.00634997,0.593962758
C11orf58,1.6234735,0.006379299,0.594205253
OTUD5,1.2605659,0.006399253,0.595564685
ZNF572,2.2833438,0.006435057,0.597395821
PLEKHB1,2.434763,0.006439516,0.597310774
PHLPP2,1.3329179,0.006473403,0.599953253
UBLCP1,1.0493323,0.006491762,0.600652876
PTP4A2,3.45093,0.006503108,0.601202035
DHRS1,1.7957321,0.00659474,0.607147702
RBM15,1.1985176,0.006636294,0.6099627
USP9X,1.0813564,0.006645096,0.610266948
GLS2,1.6114184,0.006648725,0.610096007
UNC93B1,1.5567529,0.006656462,0.610301985
C15orf44,1.3052311,0.00666791,0.610344483
LPO,1.085155,0.006678008,0.610263375
NCOA2,1.4066201,0.006678783,0.609832702
INO80B,1.2839397,0.006735587,0.613507097
NAP1L4,1.3289018,0.006740191,0.613423604
ROGDI,2.1847575,0.006753278,0.613609571
SP2,1.3127507,0.006771075,0.613221014
RNH1,1.4166205,0.006773014,0.612398435
TRPC7,1.2677929,0.006821232,0.614757317
LOC100132346,1.5237281,0.006828532,0.614418626
LRRTM4,1.2027805,0.006837676,0.61474355
FAM98C,1.431592,0.006841805,0.614617548
ISYNA1,2.8529186,0.006855898,0.614889434
INPP4B,1.9925919,0.00687683,0.616269372
RBM6,1.5256923,0.00687687,0.615776359
RXFP1,1.2756118,0.006912246,0.617948137
DNAL4,1.2048103,0.006914113,0.617122115
MAP3K14,1.3501763,0.006969062,0.618548791
DOK3,1.2457054,0.007006455,0.621371385
MFSD10,1.2620173,0.007009735,0.621166508
FCGRT,1.3000576,0.007030989,0.622553474
LUZP4,1.2040775,0.007035482,0.622455328
RASSF5,1.4984812,0.007040859,0.622435458
CCNL2,1.5469865,0.007062763,0.623875512
UTP14C,1.5349321,0.007073885,0.623371367
TRPM3,1.2437367,0.007104456,0.625073971
STRBP,1.1945137,0.007105327,0.624656056
SPAG8,1.1892546,0.007109731,0.62454908
LOC399881,1.1131444,0.007125327,0.625424699
RPS6KA5,1.2405239,0.007126134,0.624509001
SLC41A1,1.2600292,0.007148253,0.624968761
NDUFA1,1.1345038,0.007160789,0.625081182
DCUN1D4,1.4279594,0.007186968,0.625891377
INTS1,1.2575878,0.007200213,0.626063589
ZSCAN29,1.3633521,0.007231674,0.627816607
NAA16,1.2370415,0.007304583,0.632170676
LOC100127998,1.2957437,0.007417798,0.635534281
HCCS,1.4276447,0.007429582,0.636053476
ATP6V0D1,1.3368186,0.007437375,0.636230528
BAHD1,1.5844275,0.00747564,0.637540719
RFC3,1.3637437,0.007496516,0.638341243
C19orf62,1.4192761,0.007500956,0.638230261
TSC22D4,1.4859228,0.007532935,0.639482344
MON2,1.4627393,0.007567568,0.641442297
DNMT1,1.3050901,0.007587276,0.642133193
EHMT2,1.4923419,0.007590209,0.641892515
DLG5,1.2329719,0.007604579,0.642618721
SNORA24,1.4228272,0.007609405,0.642537951
RABGGTA,1.3483812,0.007665464,0.645799336
LOC151534,1.8310459,0.007670023,0.645205135
TSSK6,1.5523793,0.007674037,0.645054444
HLA-DOA,1.8512335,0.007758873,0.648262622
GGA3,1.0738647,0.007789905,0.649878049
ZC3HAV1,1.2730746,0.007803339,0.65002285
MCF2L,1.837292,0.007813882,0.650413453
GMIP,1.3020474,0.007854453,0.651351031
TRIM15,1.5760254,0.00787085,0.652224025
ACOT8,1.9123621,0.007883245,0.652764378
BLOC1S1,1.5405332,0.007889266,0.652776554
TMC8,1.3649566,0.007893504,0.652641276
CYP2B6,2.8898141,0.007903175,0.652469931
CYP2B7P1,2.8898141,0.007903175,0.652469931
RNF207,1.3085575,0.007954962,0.654799446
ZMYND17,1.2567106,0.00797297,0.655310942
DAP,1.0726097,0.008014206,0.656757086
FUBP3,1.1603118,0.008054539,0.659090198
EPHB4,1.3773631,0.008066843,0.659611344
GAL3ST3,1.363129,0.008078786,0.660102178
GPR98,2.7194462,0.008118412,0.662365842
TMEM180,1.2971228,0.008133779,0.662646573
PUS10,1.6069417,0.008155243,0.662452526
PLP2,1.2967637,0.008156655,0.662083236
LTBP4,1.4734681,0.008174471,0.662561459
ANO8,1.2627585,0.008179195,0.662461146
GRTP1,2.4449067,0.008182471,0.662243765
CCDC57,1.112908,0.008185451,0.662002786
NARG2,1.8431598,0.008198845,0.662603812
RIC8A,1.281719,0.008215626,0.66347751
DIDO1,1.7090952,0.008218546,0.663231262
MAST3,1.702078,0.008235235,0.663614199
AASDH,1.5876555,0.0082783,0.666118402
ARHGDIG,1.0725454,0.008282076,0.665458558
TSR2,1.2978507,0.008302629,0.666146625
RAB17,2.4582624,0.008321954,0.667215401
RUNX2,1.0276487,0.008340076,0.666744079
SEMA4D,1.4393026,0.008345367,0.665730198
CAPN1,1.5708647,0.008353442,0.665418995
RNF43,1.1546913,0.008413296,0.668748733
DAO,1.1170012,0.008475933,0.671805351
ZNF663,1.2576373,0.008592381,0.676691115
CHRNA10,1.7193058,0.008594397,0.676370529
P704P,3.219421,0.008594903,0.67593166
MB,1.8212768,0.008612373,0.676348179
ANO9,2.256623,0.008652205,0.6785173
ERCC5,1.4015967,0.008694083,0.678449885
OTOP1,1.1889968,0.008719584,0.679485477
EXOSC1,1.1226918,0.008722369,0.6792262
HLA-DPA1,1.0922202,0.00875497,0.679384482
RAB5C,1.3255951,0.008812133,0.682866594
XIRP2,1.2482423,0.008815573,0.682657108
RPH3AL,1.711892,0.008826882,0.682581464
EXOC6,1.5681114,0.008834186,0.68219684
GCC1,1.2013311,0.008834564,0.68175228
LCORL,1.3477641,0.008902924,0.684176764
HECTD3,1.2237475,0.008952828,0.68564099
UBA1,1.2873316,0.008954219,0.685275262
C19orf60,1.2116086,0.008955072,0.68439784
IGHG2,1.3018708,0.008973473,0.685332833
CCDC142,1.4830133,0.008981095,0.684973346
PP2672,1.3295485,0.009007571,0.686521508
TRIM66,1.7022352,0.009046851,0.68904266
TOLLIP,1.3002303,0.009062338,0.689749453
F7,4.7428117,0.009071487,0.689973209
CTDSP2,1.1453675,0.009082179,0.689842066
PCYOX1,1.2894131,0.009090792,0.689083245
ADAP1,1.810961,0.009136886,0.691162814
LOC150776,1.250761,0.009141439,0.691036806
FGD3,1.9358945,0.009147203,0.69053302
ITM2B,1.3174018,0.009155527,0.690223646
ADAL,1.3852259,0.009156369,0.689819122
LOC554207,1.2864964,0.0091597,0.689602551
ZNF501,1.9017737,0.009208314,0.690922015
RBMX2,1.1836454,0.009211572,0.690700041
CLK2P,1.3154092,0.009232356,0.691325532
SFTPD,1.4708093,0.009246443,0.691448503
SHKBP1,1.787123,0.009331536,0.694075184
LOC642424,1.3017071,0.009338917,0.694159538
FAM153A,1.7029041,0.009344172,0.694085853
NR2C2AP,1.5167563,0.009385386,0.696216489
RFXANK,1.5167563,0.009385386,0.696216489
GPX1,1.0738058,0.009391225,0.696184849
KIAA0195,1.6115936,0.009395232,0.696017598
MUC17,2.040771,0.009395798,0.695595789
HES4,1.2031173,0.009405521,0.695851988
PHC3,1.434926,0.009424062,0.69583395
DHRS7C,1.3746848,0.009431025,0.695885637
PDDC1,1.3295728,0.009436332,0.695815177
LOC729196,1.6126766,0.009451416,0.696465331
IL1RAPL1,1.788743,0.009474586,0.696325678
ELOVL5,1.9017419,0.009478645,0.696163582
LOC100129831,1.3824918,0.00949486,0.696433893
FBXO4,1.3847287,0.009516531,0.697562983
SFRS8,1.144385,0.009558197,0.697855168
DHRS4,1.2267531,0.00956205,0.697678086
CAPRIN2,1.3588097,0.009578319,0.697948567
ERVWE1,1.1796881,0.009618503,0.699500584
TNRC6C,2.1258996,0.00968323,0.702369163
LOC100131096,2.1258996,0.00968323,0.702369163
TBC1D9B,1.1969723,0.009690823,0.702003441
BAT2L1,1.1840338,0.009693658,0.701751403
ARL6IP4,1.1965946,0.009699688,0.701730774
PCBP2,2.434805,0.009788211,0.704922458
ANKRD55,2.3131187,0.009793715,0.703950212
ASB4,1.1115298,0.009804045,0.703782265
INTS6,1.5405823,0.009812136,0.703908314
SFRS3,1.2289815,0.009836799,0.703859998
LYPD6,2.337746,0.009857551,0.703984992
C5orf27,1.1372414,0.009862546,0.703889364
C12orf51,1.2487504,0.009862876,0.703461074
SLC8A2,1.5224695,0.009914702,0.705346653
AFM,1.2467618,0.010034466,0.708874725
LRRC56,1.9716979,0.010036604,0.708575293
LOC388588,2.0139225,0.010097765,0.711537048
C15orf57,1.4325981,0.010109471,0.711910456
PAIP2,1.3582513,0.010116125,0.711927921
TIA1,1.5485011,0.010160041,0.713211793
ZFYVE28,1.3707502,0.010205734,0.714163592
STRADB,1.3628172,0.010226237,0.71469822
PBX2,1.4446733,0.010226275,0.714251621
MID1IP1,1.7849088,0.010255081,0.715364337
PTK6,1.7702631,0.010286606,0.71666363
NUDT13,1.6700978,0.010321614,0.718202096
LOC90925,2.0993788,0.010323262,0.717867248
ZNF830,1.0672566,0.010347792,0.717776317
GEMIN8,1.2836566,0.010368334,0.71830451
ZFYVE19,2.288977,0.010390911,0.719420086
PTP4A1,1.2048881,0.010395234,0.719271215
FAM71A,1.0767239,0.010399051,0.719087553
LPHN1,1.2156262,0.010446344,0.721011879
RICTOR,1.2364783,0.010477965,0.721849261
BLVRA,2.284862,0.010487068,0.722028803
ZNF862,1.61049,0.010498006,0.722334323
PMPCB,1.2101954,0.010503558,0.72226911
DDX54,1.2480315,0.010507046,0.722062111
IGHMBP2,2.6100056,0.010521218,0.722142845
SYS1,1.4316936,0.010551494,0.723327355
PABPC1L,2.9048243,0.010617568,0.725618721
VPS52,1.7440077,0.010639604,0.726677749
RARG,1.7456301,0.010666342,0.727609556
LOC100129857,1.8043425,0.0106702,0.727426125
FGA,1.8043425,0.0106702,0.727426125
GNAT1,1.382285,0.010699983,0.728562623
HERC2P2,2.0327492,0.010726475,0.729472487
ELF1,1.4470676,0.010751032,0.730695352
C2orf65,2.0755224,0.010821142,0.733665483
CLCN2,1.4263135,0.010829835,0.732913357
POLR2E,1.2409041,0.010838355,0.73304355
UPF3A,1.2844622,0.010846316,0.732244917
SLC7A6OS,1.2449052,0.010872175,0.732655364
SLC7A6,1.2449052,0.010872175,0.732655364
GOLGA6L2,1.2409699,0.010872716,0.732247795
MUTYH,1.3683043,0.010922316,0.735142635
SPINT2,1.3007892,0.010925135,0.734887264
HELQ,1.3552994,0.010929384,0.734728333
RPAP1,1.2851547,0.010970335,0.736590023
NNT,1.2545241,0.011028583,0.739161155
SLITRK1,1.507816,0.011052471,0.738979411
HSPA1B,2.1208496,0.011087056,0.740400814
HSPA1A,2.1208496,0.011087056,0.740400814
DNALI1,2.1169984,0.011145345,0.742953893
DDX56,1.4202971,0.011155487,0.742738878
GMPR2,1.4789683,0.011189093,0.74453029
PPP1R16A,1.7730205,0.011191184,0.74422378
CPNE1,1.9618365,0.011204707,0.744677454
RASSF7,1.7097616,0.011213069,0.744787752
TUBB3,1.1138195,0.011228026,0.745335687
MC1R,1.1138195,0.011228026,0.745335687
LOC100132304,1.1224903,0.011258103,0.74644043
TSSC1,1.2196532,0.01126919,0.746729969
GRIN2B,1.0987362,0.011279047,0.746492893
PLK3,1.233078,0.011304007,0.747254685
NBPF1,1.269897,0.011305256,0.746449166
SLC25A41,1.2830911,0.011339761,0.747838747
C6orf134,1.3630073,0.011406075,0.750430566
AQR,1.3964913,0.011417123,0.750712986
PRPF38B,1.5315757,0.011449492,0.75106368
TRAPPC2L,1.4067584,0.011452594,0.750381246
MED12,1.4207376,0.011453778,0.750016623
GRM6,1.1686218,0.011453864,0.749580534
WIPI2,1.1345048,0.011515342,0.752274778
PSAP,1.0804639,0.011578786,0.754644855
ABHD8,1.6965289,0.011678878,0.758942658
ARL3,1.5970787,0.011695897,0.759160752
THOC2,1.4617934,0.011725856,0.759331164
ADAMTS7,1.1684932,0.011732875,0.759343208
FUT7,1.2953541,0.011760168,0.759782042
CCDC124,1.4832038,0.011768231,0.759861227
RBBP7,1.2779729,0.011793004,0.760576874
ZNF440,1.1786808,0.011801218,0.760665187
SERPINA4,1.1093848,0.011842173,0.761979004
RFT1,1.1895816,0.011847345,0.761870684
TMCO3,1.3325669,0.011880884,0.762262949
INPP5E,1.3744605,0.011888658,0.761881945
RGS18,1.6637249,0.011900405,0.761756142
TFCP2,1.3875563,0.011938588,0.763320901
PCK2,1.4053116,0.011939668,0.762950951
KIAA0226,1.5180029,0.011945345,0.762436841
FKBPL,1.4874504,0.011982022,0.764338814
BCL7B,1.4392548,0.012003635,0.764401086
KIRREL3,1.3695345,0.012045976,0.764905708
FRG1B,1.421874,0.01205155,0.764822642
CMTM4,2.5348241,0.012069061,0.765060071
GALT,1.1463437,0.012080255,0.765333083
SDHAF1,1.1284633,0.012087459,0.764481935
STBD1,1.6996862,0.012111007,0.765535483
TTC26,1.2225951,0.012112294,0.764746839
KCNH4,1.082231,0.012124328,0.765071963
U2AF1L4,1.3245739,0.012132911,0.763878471
KIAA1632,1.2445508,0.012145263,0.76379064
CYP2E1,3.7755368,0.012180176,0.765553004
LOC441245,1.3768786,0.012186973,0.765547188
COIL,1.0807407,0.012198542,0.765841019
KRTCAP3,1.3585153,0.012221088,0.765958241
MYO5C,1.9012359,0.012229411,0.766047832
ACTR1A,1.4278271,0.012248642,0.766820217
UBTF,1.2390857,0.01226553,0.767445098
TMSL3,1.4363444,0.012278121,0.767800577
FBXL15,1.4632013,0.01228704,0.767926179
TMPRSS6,2.7084856,0.012329664,0.769724319
C15orf29,1.4160762,0.012354815,0.769996725
TRIM40,1.3353387,0.01235565,0.769617122
RNF5,1.7455616,0.012380773,0.770318396
SNX21,1.3193693,0.012425274,0.771359626
EIF4H,1.2611402,0.012426014,0.770974852
OSR2,3.6794333,0.012433824,0.771028898
C19orf50,1.5997404,0.012472656,0.771714353
PDXP,1.1007826,0.012473668,0.771347488
WBP1,1.711714,0.01249784,0.771983004
LOC729859,1.711714,0.01249784,0.771983004
PLIN5,2.114708,0.012513324,0.772081093
GUSBL1,1.6687595,0.012531225,0.772756576
CD4,1.9426073,0.012552467,0.773637133
SLC25A11,1.4836919,0.01255473,0.773347711
CCNK,1.2233758,0.012572228,0.773139839
RMND5A,1.2664117,0.012615371,0.774507119
ARID2,1.4539772,0.012616318,0.774137523
SAMD1,1.4499408,0.012619735,0.773919864
LOC644656,1.864505,0.012655701,0.775697451
UBA52,1.2248659,0.012664433,0.775804736
PRSS30P,1.0834259,0.012684385,0.776598879
NAA10,1.2462939,0.012700258,0.777142484
RHPN1,2.5297093,0.012700644,0.776738403
VPS8,1.4199191,0.01272447,0.77691277
UCN,2.1233184,0.012754779,0.778335683
TMEM132D,1.2353963,0.012780323,0.779038861
ARFGAP1,1.3868147,0.012790406,0.778372526
SON,1.1370144,0.012804232,0.778787427
AMT,2.1130562,0.012810288,0.778729565
EXOC3,1.4449383,0.012835843,0.779856432
CCL23,1.1074036,0.012851203,0.779936744
IL1F6,1.2016594,0.012874467,0.780070575
C7orf27,1.5271074,0.012875614,0.779290243
LOC84931,1.495244,0.012913927,0.780334033
DIS3L,1.533681,0.012940904,0.781114668
KLK2,1.0621998,0.012949722,0.781222546
SERPINA10,1.8885111,0.012957037,0.781239738
GDI2,1.1312925,0.012968341,0.781497285
FLJ14107,1.1525947,0.012978798,0.78170348
C4orf29,1.2924188,0.012988548,0.781020775
CD22,3.6744018,0.01299656,0.781079878
DOK1,2.4468591,0.013000575,0.78089887
OR4C46,1.1782236,0.013020718,0.781264162
EIF4G1,1.1264541,0.013040837,0.781627257
HPS1,1.3624982,0.013200676,0.788655217
HSPE1,1.4357432,0.013225054,0.78883933
GLRX2,1.2182506,0.013258751,0.79000118
SCARB1,1.2925075,0.013266327,0.790028967
BAI2,4.2478814,0.013305049,0.790640089
LNX1,1.5760155,0.013313537,0.790721612
BET3L,1.0649489,0.01332508,0.790984417
HTR3D,1.2864211,0.013341598,0.791542149
IGFN1,1.0912744,0.013356573,0.791585322
COG5,1.24596,0.013359433,0.79133274
PGAP2,1.4146917,0.01336138,0.791026415
MOSPD2,1.4228866,0.01336458,0.790373696
UBR1,1.3024057,0.013407127,0.790785628
CHM,1.1022146,0.013463009,0.792819272
PLEKHA5,1.2006595,0.013519682,0.794472587
ZFAND3,1.3548927,0.013524242,0.794320498
ZNF496,1.4988136,0.013539037,0.794769366
GLE1,1.1925435,0.013566409,0.795955682
ABHD12,1.4742383,0.013572788,0.795909713
EPM2AIP1,1.8100647,0.013614499,0.796254707
SNX1,2.3023405,0.013670116,0.797409082
C14orf53,1.9336567,0.013688971,0.79809001
KCNAB2,1.3115122,0.013726886,0.799042817
PLCB3,1.6937939,0.013741243,0.799459767
COG3,1.3877829,0.013757297,0.799138568
JMJD7,1.3003231,0.013766097,0.799232002
JMJD7-PLA2G4B,1.3003231,0.013766097,0.799232002
CBX4,1.6677266,0.013772869,0.799207576
MNAT1,1.2961912,0.013797877,0.799406426
ORMDL2,1.312985,0.013798794,0.799042934
HDGFRP3,1.1447369,0.013814427,0.799531539
HCFC1,1.1924558,0.013823525,0.799225599
C1orf112,1.3641591,0.013847542,0.799366428
SCYL3,1.3641591,0.013847542,0.799366428
VN1R2,1.1791418,0.013888673,0.800078264
VTN,1.3016522,0.01389498,0.79961259
LOC440335,1.347697,0.013932376,0.800935029
GKN2,1.434806,0.014014405,0.801504244
MCAT,1.3738157,0.014031417,0.801240048
WNT9A,1.2311288,0.014031563,0.800836848
PAPL,1.2462786,0.014040644,0.800532852
CYTL1,1.7280605,0.014055027,0.80053143
MBOAT1,1.7920132,0.014056161,0.800185849
LPIN3,1.4196382,0.014056575,0.799799687
WDFY3,1.3861252,0.014070457,0.800179814
SMARCE1,1.6278497,0.014105254,0.801338532
MREG,1.3430766,0.0141164,0.80156192
RAP2C,1.8205049,0.014155681,0.802562096
PSMG3,1.2647343,0.014161578,0.802077978
MAGEC1,1.5297557,0.014167113,0.801982732
ZHX2,1.4213388,0.014168257,0.801639114
LIG4,1.2462912,0.014234773,0.803357395
FBXO18,1.215769,0.014254524,0.804063668
ZNF684,1.1060294,0.01425782,0.803841566
MAPK15,1.4131911,0.014275912,0.803638389
RIPK3,1.8470969,0.014280919,0.803513197
FLJ31306,1.6190422,0.014323957,0.803493738
CDK2,1.4563506,0.014330917,0.803478555
KIF5A,1.3952585,0.01435122,0.803805763
ODF3L1,1.0582848,0.014423957,0.806254184
SLC39A11,1.4890664,0.014426209,0.805974645
LOC401218,1.2964534,0.01443831,0.806245412
COPS7A,1.2205973,0.014477407,0.807616927
FAM22A,1.273797,0.014512546,0.808765147
FAM22B,1.273797,0.014512546,0.808765147
GOT1,1.094459,0.01451583,0.808137543
CCDC85C,1.1078293,0.014531899,0.80822235
GNAI2,1.5696285,0.014556143,0.808356964
PXMP2,1.2423809,0.014563599,0.807963435
SNAP23,1.6452105,0.014573598,0.808114732
TMUB1,1.3313155,0.014588547,0.808540181
PRDX3,1.5092987,0.014599584,0.808748547
PPIL2,1.5204769,0.014669806,0.809008872
IPW,1.802545,0.014672856,0.808775678
SCNN1A,2.2951667,0.014674094,0.808442895
KRTAP5-8,1.2757907,0.014697044,0.808905191
CPT1B,2.6122146,0.014744579,0.808318603
CHKB,2.6122146,0.014744579,0.808318603
AIFM1,1.2797344,0.01475236,0.80754999
FAM30A,1.9056131,0.014752521,0.807161195
KIAA0125,1.9056131,0.014752521,0.807161195
EMID1,1.7197605,0.014770352,0.807739082
CYP3A4,1.1387187,0.014777436,0.807331859
OXSR1,1.1160283,0.014794931,0.807493667
SMARCD1,1.3478256,0.014846048,0.809885801
TAB3,1.1901505,0.015053053,0.817965981
FXYD7,1.2064979,0.015097802,0.819195839
H2AFV,1.1943812,0.015153898,0.819438723
LRDD,1.6969584,0.015190026,0.81979662
KDM5C,1.5854495,0.015204257,0.820166333
MBTPS1,1.2545003,0.015229888,0.821150316
FLJ40504,2.474668,0.01523124,0.820824942
EIF5A,1.392469,0.015302375,0.823061893
PLA2G4B,1.7072248,0.015332742,0.824296212
SSTR1,1.10869,0.015335336,0.82403703
AP3S2,1.0833921,0.015335489,0.823646948
ARVCF,1.5285852,0.015358901,0.824107778
C14orf156,1.3328658,0.015367137,0.82415172
SNX15,1.3915197,0.015411008,0.82451488
SYT2,1.1993604,0.015419124,0.824552108
TMEM54,1.5245214,0.015422356,0.824328274
CCNDBP1,1.678046,0.015425275,0.824087923
AFAP1L1,1.253167,0.015443873,0.824685031
PBXIP1,1.2213393,0.015469735,0.825272847
RHOH,1.2445991,0.015484447,0.825265312
COQ10B,1.4572678,0.015486871,0.824998823
PHF20L1,1.7088292,0.015487254,0.824623906
CCDC64B,1.5453573,0.015522907,0.824941161
CNOT4,1.1752725,0.015528176,0.824432609
LOC440871,1.5915035,0.015543561,0.824461638
ZNF630,1.2087319,0.015559699,0.824923874
SYP,1.2301847,0.015607016,0.824286317
DNAJC8,1.2503563,0.015629871,0.824318054
SLC22A5,1.6310103,0.015650531,0.825016114
CYP2A7,1.5997962,0.015690457,0.825945336
CTR9,1.3116858,0.015718055,0.826614943
C16orf86,1.4175167,0.01575434,0.827348568
MDS2,1.7362808,0.015803784,0.828379186
OBFC2B,1.5934246,0.015816417,0.82865048
HIST1H2AC,1.8318166,0.015895562,0.830057604
C14orf1,1.3789943,0.015907806,0.829916971
AARSD1,1.42305,0.015916503,0.829981013
