,logFC,P.Value,adj.P.Val
C12orf53,1.3386962,0.002193563,0.331189327
MICALL2,1.8177127,0.002204538,0.332394625
WNT10A,1.692763,0.002211191,0.332946053
NAT1,3.101792,0.002216177,0.333245209
TEP1,1.4371138,0.002245385,0.336725966
EIF3CL,1.3069582,0.002263688,0.338556953
EIF3C,1.3069582,0.002263688,0.338556953
RWDD4A,1.2477467,0.002299881,0.342128105
ALS2CL,1.3244609,0.002312827,0.342677721
UBE2J2,1.4026423,0.002318201,0.343016641
IGHD,1.5865386,0.00233493,0.344574244
L2HGDH,1.1598966,0.00240026,0.351415194
CCDC88B,1.9022236,0.002406893,0.351922623
AMFR,1.1874759,0.002460873,0.356996851
LOC643332,1.1990737,0.002464303,0.357028327
SEC31B,2.114465,0.002484513,0.359487708
ZNF706,1.2584537,0.002491562,0.359571277
CSK,1.3198797,0.002512139,0.362070557
IDE,1.2862045,0.002516925,0.36182176
C5orf45,1.5666509,0.00254961,0.365103475
SQSTM1,1.5666509,0.00254961,0.365103475
ZMYM3,1.4970531,0.00256394,0.36668301
ZNF225,1.4224048,0.002581788,0.367815441
LOC389787,1.3009375,0.002584999,0.367801289
NFKBID,1.6885555,0.002620692,0.370979811
GPR55,1.1313636,0.002628079,0.371552121
PEX2,1.5118748,0.002667445,0.375683788
AGR2,3.2304637,0.00266966,0.375519736
HFE,1.4986244,0.002682432,0.375888873
NDE1,1.4101591,0.002693767,0.375582731
FOLR2,1.3084235,0.002703988,0.376535438
FAM127B,1.5089343,0.002742187,0.380900109
LOC340073,1.149354,0.002742856,0.380517397
HIST1H2BD,2.3872318,0.002746201,0.38003254
FAM133B,1.0675011,0.002787917,0.383893071
LOC728153,1.0675011,0.002787917,0.383893071
VEZT,1.2882738,0.002790104,0.38371873
ARID4A,1.2122798,0.002793462,0.383705594
GLDC,1.1857376,0.002808042,0.385232148
LOC100131929,1.49815,0.002830184,0.387791108
FLJ43963,1.2367656,0.00284757,0.389213409
NCF4,1.6850544,0.002848795,0.388902557
FDX1L,1.4089023,0.002896148,0.393915173
DYNLRB1,1.4173484,0.002905954,0.394283646
TMEM131,1.3806001,0.002934238,0.3961863
IGSF8,1.2737467,0.002947693,0.397038235
TPP1,1.3279171,0.002956236,0.397706847
ZNF280D,1.3353285,0.0029719,0.398367255
FANCI,1.1078756,0.002998848,0.400530013
POLG,1.1078756,0.002998848,0.400530013
TBC1D14,1.1341436,0.002999306,0.400110292
LOC100129931,1.1341436,0.002999306,0.400110292
SLC4A1,1.2797441,0.00300736,0.399745081
YTHDF1,1.3153644,0.003019676,0.400902561
THAP8,1.5941962,0.003039625,0.402589142
TP53INP1,1.5539756,0.003067201,0.404794082
KCNE4,1.6388922,0.003079322,0.404950875
FRYL,1.1175597,0.003084161,0.405107792
CLSTN2,2.2563686,0.003089682,0.405353879
KAT2A,1.7774525,0.003093495,0.404421729
KCTD19,1.4814489,0.003093924,0.404002484
SLC35C2,1.3952844,0.003108074,0.404898617
LOC407835,1.1295286,0.003142708,0.407975678
PLEKHA8,1.7240932,0.003156078,0.408756241
TADA1,1.0602921,0.003164529,0.408897656
GRHPR,1.1240135,0.003179549,0.410361235
TMBIM6,1.4854212,0.003187005,0.410846322
MTERF,1.2300826,0.003187532,0.410438096
ITIH1,1.2402065,0.003193332,0.410709115
LRRC27,1.5292345,0.003200234,0.410646247
C2orf42,1.1528875,0.003202222,0.410427314
C12orf60,1.392612,0.003202701,0.410015788
ARHGAP33,1.3263295,0.003216749,0.411340442
MAP2K5,1.9443318,0.003231283,0.412723917
CATSPER2,1.5141547,0.003283943,0.416102169
STRC,1.5141547,0.003283943,0.416102169
VPS4B,1.1441363,0.003368553,0.423922683
GPA33,1.6293129,0.003425962,0.429203186
RBM19,1.6533259,0.003461968,0.432251942
USP38,1.0734093,0.003486008,0.434765109
ACOT12,1.0876613,0.003491911,0.435012987
CHIC1,1.3281622,0.003509403,0.436702559
FEV,1.2571391,0.003524146,0.438046577
MTSS1,1.4667041,0.003586156,0.441311617
ARHGAP32,1.5035807,0.003608408,0.442579613
LRRC23,1.2825828,0.003614331,0.442817354
FAM96A,1.2967104,0.003614448,0.442343998
C20orf200,1.3730739,0.003627551,0.442485548
HCG4P6,1.2806785,0.003639036,0.443399777
GON4L,1.1150672,0.003644001,0.443518476
NEDD8,1.426596,0.003647093,0.443409136
FLJ40852,1.7269378,0.003663215,0.444882443
MFSD8,1.441978,0.003672894,0.44557095
HNRNPA1,1.2786142,0.003695639,0.447353474
LCN12,3.2481503,0.003743841,0.451222209
WBSCR16,1.2434654,0.003751416,0.450668806
CELSR1,2.1523604,0.003752909,0.450361258
C1orf113,2.8434649,0.003781486,0.452812612
VTI1B,1.0606356,0.003802872,0.454883202
ARG2,1.0606356,0.003802872,0.454883202
CACNA2D2,2.5230567,0.003818601,0.455783421
SLC16A5,1.4849886,0.003845561,0.458508863
LOC100133772,1.4849886,0.003845561,0.458508863
RBMX,2.7722428,0.00386154,0.45942817
DUSP16,1.5887995,0.003904193,0.464005974
GGA2,1.2214519,0.003912824,0.464534939
UBAC2,1.5475701,0.003941656,0.46696015
LOC100128775,1.5454488,0.003975884,0.470012954
AGER,1.7640209,0.003976531,0.469589861
ELMO3,1.411593,0.003991818,0.470395294
LOC440983,1.0571147,0.0039994,0.470789526
THRAP3,1.0571147,0.0039994,0.470789526
EPS15L1,1.325414,0.004014643,0.472083785
