category	evidence	authors	title	venue	year	pmid	doi	pmcid	url	local_pdf	fulltext_xml	topics	status
chemo_partner	preclinical_synergy	Milosevic et al.	Wnt/IL-1β/IL-8 autocrine circuitries control chemoresistance in mesothelioma initiating cells by inducing ABCB5.	International journal of cancer	2020	31107974	10.1002/ijc.32419		https://doi.org/10.1002/ijc.32419			pemetrexed;cisplatin;mesothelioma;preclinical;resistance	metadata_only
chemo_partner	clinical_landmark	Magali et al.	Better survival in impaired renal function patients with metastatic non-small cell lung cancer treated by cisplatin-pemetrexed.	European journal of clinical pharmacology	2020	32564117	10.1007/s00228-020-02935-8		https://doi.org/10.1007/s00228-020-02935-8			pemetrexed;cisplatin;nsclc	metadata_only
chemo_partner	clinical_landmark	Zhang et al.	Comparative clinical study on microwave ablation combined with gemcitabine and cisplatin or combined with pemetrexed and cisplatin in treatment of advanced NSCLC.	The clinical respiratory journal	2020	32445215	10.1111/crj.13219		https://doi.org/10.1111/crj.13219			pemetrexed;cisplatin;nsclc	metadata_only
chemo_partner	preclinical_synergy	Pulito et al.	Dropwort-induced metabolic reprogramming restrains YAP/TAZ/TEAD oncogenic axis in mesothelioma.	Journal of experimental & clinical cancer research : CR	2019	31399037	10.1186/s13046-019-1352-3	PMC6689183	https://doi.org/10.1186/s13046-019-1352-3		pulito_2019_pmid31399037.xml	pemetrexed;cisplatin;mesothelioma;preclinical	fulltext_xml
chemo_partner	preclinical_synergy	Gerogianni et al.	2-Deoxy-glucose Enhances the Effect of Cisplatin and Pemetrexed in Reducing Malignant Pleural Mesothelioma Cell Proliferation But Not Spheroid Growth.	Anticancer research	2019	31262908	10.21873/anticanres.13530		https://doi.org/10.21873/anticanres.13530			pemetrexed;cisplatin;mesothelioma;preclinical;resistance	metadata_only
chemo_partner	preclinical_synergy	Chouquet et al.	Mutagenicity assessment of environmental contaminations in a hospital centralized reconstitution unit.	Ecotoxicology and environmental safety	2018	30195999	10.1016/j.ecoenv.2018.09.002		https://doi.org/10.1016/j.ecoenv.2018.09.002			pemetrexed;preclinical	metadata_only
chemo_partner	preclinical_synergy	de Fonseka et al.	Zoledronic acid in the management of mesothelioma - a feasibility study (Zol-A Trial): study protocol for a randomised controlled trial.	Trials	2018	30157910	10.1186/s13063-018-2851-9	PMC6116562	https://doi.org/10.1186/s13063-018-2851-9		de_2018_pmid30157910.xml	pemetrexed;cisplatin;mesothelioma;clinical_trial;preclinical	fulltext_xml
chemo_partner	preclinical_synergy	Tatsuta et al.	Sialic acid-binding lectin from bullfrog eggs inhibits human malignant mesothelioma cell growth in vitro and in vivo.	PloS one	2018	29298350	10.1371/journal.pone.0190653	PMC5752036	https://doi.org/10.1371/journal.pone.0190653		tatsuta_2018_pmid29298350.xml	pemetrexed;cisplatin;bcl2_apoptosis;mesothelioma;preclinical	fulltext_xml
chemo_partner	clinical_landmark	Paik et al.	Pemetrexed Continuation Maintenance versus Conventional Platinum-Based Doublet Chemotherapy in EGFR-Negative Lung Adenocarcinoma: Retrospective Analysis.	Tuberculosis and respiratory diseases	2018	29527843	10.4046/trd.2017.0090	PMC5874144	https://doi.org/10.4046/trd.2017.0090		paik_2018_pmid29527843.xml	pemetrexed;cisplatin;egfr_tki;nsclc	fulltext_xml
chemo_partner	preclinical_synergy	Satoh et al.	Synergistic anti-tumor effect of bullfrog sialic acid-binding lectin and pemetrexed in malignant mesothelioma.	Oncotarget	2017	28476017	10.18632/oncotarget.17198	PMC5522080	https://doi.org/10.18632/oncotarget.17198		satoh_2017_pmid28476017.xml	pemetrexed;cisplatin;bcl2_apoptosis;mesothelioma;preclinical	fulltext_xml
chemo_partner	clinical_landmark	Spigel et al.	First-Line Carboplatin, Pemetrexed, and Panitumumab in Patients with Advanced Non-Squamous KRAS Wild Type (WT) Non-Small-Cell Lung Cancer (NSCLC).	Cancer investigation	2017	28762849	10.1080/07357907.2017.1344698		https://doi.org/10.1080/07357907.2017.1344698			pemetrexed;carboplatin;mapk;nsclc	metadata_only
chemo_partner	preclinical_synergy	Tièche et al.	Prolonged pemetrexed pretreatment augments persistence of cisplatin-induced DNA damage and eliminates resistant lung cancer stem-like cells associated with EMT.	BMC cancer	2016	26895954	10.1186/s12885-016-2117-4	PMC4759918	https://doi.org/10.1186/s12885-016-2117-4		tièche_2016_pmid26895954.xml	pemetrexed;cisplatin;parp_ddr;bcl2_apoptosis;nsclc;resistance	fulltext_xml
chemo_partner	clinical_landmark	Rimner et al.	Phase II Study of Hemithoracic Intensity-Modulated Pleural Radiation Therapy (IMPRINT) As Part of Lung-Sparing Multimodality Therapy in Patients With Malignant Pleural Mesothelioma.	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2016	27325859	10.1200/JCO.2016.67.2675	PMC5019761	https://doi.org/10.1200/JCO.2016.67.2675			pemetrexed;cisplatin;carboplatin;mesothelioma;clinical_trial	metadata_only
chemo_partner	clinical_landmark	Kimura et al.	Phase II Study of Carboplatin and Pemetrexed in Advanced EGFR-wild-type Non-squamous Non-small Cell Lung Cancer: The Central Japan Lung Study Group Trial 0906.	Anticancer research	2016	27069157			https://pubmed.ncbi.nlm.nih.gov/27069157/			pemetrexed;carboplatin;egfr_tki;nsclc;clinical_trial	metadata_only
chemo_partner	preclinical_synergy	Vandana et al.	Synergistic activity of combination therapy with PEGylated pemetrexed and gemcitabine for an effective cancer treatment.	European journal of pharmaceutics and biopharmaceutics : official journal of Arbeitsgemeinschaft fur Pharmazeutische Verfahrenstechnik e.V	2015	25968494	10.1016/j.ejpb.2015.04.017		https://doi.org/10.1016/j.ejpb.2015.04.017			pemetrexed;nsclc;preclinical	metadata_only
chemo_partner	preclinical_synergy	Ryu et al.	A case of advanced malignant pleural mesothelioma treatment with chemotherapy and photodynamic therapy.	Tuberculosis and respiratory diseases	2015	25653696	10.4046/trd.2015.78.1.36	PMC4311034	https://doi.org/10.4046/trd.2015.78.1.36		ryu_2015_pmid25653696.xml	pemetrexed;cisplatin;mesothelioma;preclinical;resistance	fulltext_xml
chemo_partner	clinical_landmark	Yamaguchi et al.	[Efficacy and safety of cisplatin plus pemetrexed as a first-line treatment for Japanese patients with advanced non-squamous non-small-cell lung cancer -- a retrospective analysis].	Gan to kagaku ryoho. Cancer & chemotherapy	2015	25743136			https://pubmed.ncbi.nlm.nih.gov/25743136/			pemetrexed;cisplatin;egfr_tki;mapk;nsclc	metadata_only
chemo_partner	preclinical_synergy	Pinton et al.	Agonist activation of estrogen receptor beta (ERβ) sensitizes malignant pleural mesothelioma cells to cisplatin cytotoxicity.	Molecular cancer	2014	25277603	10.1186/1476-4598-13-227	PMC4197308	https://doi.org/10.1186/1476-4598-13-227		pinton_2014_pmid25277603.xml	pemetrexed;cisplatin;bcl2_apoptosis;mesothelioma;preclinical	fulltext_xml
chemo_partner	preclinical_synergy	Hassan et al.	Phase II clinical trial of amatuximab, a chimeric antimesothelin antibody with pemetrexed and cisplatin in advanced unresectable pleural mesothelioma.	Clinical cancer research : an official journal of the American Association for Cancer Research	2014	25231400	10.1158/1078-0432.CCR-14-0804	PMC4252585	https://doi.org/10.1158/1078-0432.CCR-14-0804			pemetrexed;cisplatin;mesothelioma;clinical_trial;preclinical	metadata_only
chemo_partner	preclinical_synergy	Hassan et al.	Phase 1 study of the antimesothelin immunotoxin SS1P in combination with pemetrexed and cisplatin for front-line therapy of pleural mesothelioma and correlation of tumor response with serum mesothelin, megakaryocyte potentiating factor, and cancer antigen 125.	Cancer	2014	24989332	10.1002/cncr.28875	PMC6334650	https://doi.org/10.1002/cncr.28875			pemetrexed;cisplatin;mesothelioma;clinical_trial	metadata_only
chemo_partner	preclinical_synergy	Pasello et al.	Synergistic antitumor activity of recombinant human Apo2L/tumor necrosis factor-related apoptosis-inducing ligand (TRAIL) in combination with carboplatin and pemetrexed in malignant pleural mesothelioma.	Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer	2014	24922007	10.1097/JTO.0000000000000198		https://doi.org/10.1097/JTO.0000000000000198			pemetrexed;carboplatin;bcl2_apoptosis;mesothelioma;preclinical	metadata_only
chemo_partner	preclinical_synergy	Li et al.	Interferon-β produces synergistic combinatory anti-tumor effects with cisplatin or pemetrexed on mesothelioma cells.	PloS one	2013	23977343	10.1371/journal.pone.0072709	PMC3745385	https://doi.org/10.1371/journal.pone.0072709		li_2013_pmid23977343.xml	pemetrexed;cisplatin;mesothelioma;preclinical	fulltext_xml
chemo_partner	preclinical_synergy	Gervais et al.	Pemetrexed and carboplatin, an active option in first-line treatment of elderly patients with advanced non-small cell lung cancer (NSCLC): a phase II trial.	Lung cancer (Amsterdam, Netherlands)	2013	23434351	10.1016/j.lungcan.2013.01.008		https://doi.org/10.1016/j.lungcan.2013.01.008			pemetrexed;carboplatin;nsclc;clinical_trial;preclinical	metadata_only
